maybe,bkb,1640620811000
ame,mkb,1640620813000
maybe,tango,1640620812000
chalice,tango,1640620815000
maybe,bottle,1640620818000
yatoro,disk,1640620819000
-- 下面这条记录会算在第2、3个窗口里面,不会算在第一个窗口里
yatoro,bkb,1640620820000
-- 下面这条记录出现时会触发1640620820000的定时器
collapse,tango,1640620820001
-- 164062082001时,第一个窗口[1640620800000,1640620820000)关闭,下面这条记录不会被记录进去
collapse,disk,1640620819000
ame,bkb,1640620824000
ame,eye,1640620823000
fy,bkb,1640620814000
yatoro,mkb,1640620831000
ana,eye,1640620835000
ana,bkb,1640620833000
chalice,bkb,1640620838000
topson,mkb,1640620844000
ceb,mkb,1640620899000
-- [1640620800000,1640620820000)有1个bkb(第1个窗口已经关闭,第13条记录的bkb丢失,左闭右开所以第8条不属于该窗口)、2个tango(3,4),1个mkb(2)
-- [1640620810000,1640620830000)有4个bkb(1,8,13,15)、3个tango(3,4,10)、2个disk(6,12)
-- [1640620820000,1640620840000)有4个bkb(8,13,18,19)、2个eye(14,17)、1个mkb(16)
-- [1640620830000,1640620850000)有2个bkb(18,19)、2个mkb(16,20)、1个eye(17)
